products,,,,,,
food_name,scientific_name,group,sub_group,kcal,price,expiration
Andrés Castro,,,,,,
Lorena Flores,,,,,,
Roberto Jiménez,,,,,,
Patricia Navarro,,,,,,
Daniel Reyes,,,,,,
Verónica Morales,,,,,,
Raúl Ortiz,,,,,,
Adriana Silva,,,,,,
Martín Molina,,,,,,
Silvia Herrera,,,,,,
José Medina,,,,,,
Cristina Ortega,,,,,,
Ricardo Ramos,,,,,,
Gabriela Cruz,,,,,,
Alberto Mendoza,,,,,,
Natalia Jiménez,,,,,,
